Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
HOME ADVANTAGE DIALYSIS,232728,-,1621 44TH ST SW STE 300,WYOMING,MI,49509,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
Home Dialysis Centers of Rancho Cucamonga,552675,-,"8239 ROCHESTER AVENUE, SUITE 110",Rancho Cucamonga,CA,91730,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,7",6,5
HOME DIALYSIS OF NORTH ALABAMA,012620,-,"1216 SOMERVILLE ROAD, SE",DECATUR,AL,35601,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",4,5
HOME DIALYSIS SERVICES - ELGIN,142760,-,442 N IL RTE 31,CRYSTAL LAKE,IL,60012,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"HOME DIALYSIS SERVICES ELK GROVE, LLC",142799,-,1843 W IRVING PARK ROAD,SCHAUMBURG,IL,60193,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
HOME DIALYSIS SERVICES - FOX VALLEY LLC,142824,-,"1670 CAPITAL STREET, SUITE 900",ELGIN,IL,60124,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"HOME DIALYSIS SERVICES FRANKFORT, LLC",142801,-,7777 W LINCOLN HIGHWAY - SUITE E,FRANKFORT,IL,60423,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"HOME DIALYSIS SERVICES HERSHEY, LLC",392841,-,"555 E. CHOCOLATE AVE., SUITE 102",Hershey,PA,17033,4,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
Home Dialysis Services KC Midtown LLC,262689,-,1728 HOLMES ST,KANSAS CITY,MO,64108,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
HOME DIALYSIS SERVICES LLC,142745,-,15786 S. BELL RD.,HOMER GLEN,IL,60491,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"Home Dialysis Services Merrillville, LLC",152679,-,200 EAST 80TH PLACE SUITE 2,MERRILLVILLE,IN,46410,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"HOME DIALYSIS SERVICES NORTH CHICAGO, LLC",142800,-,7315 W. NORTH AVENUE,RIVER FOREST,IL,60305,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
"HOME DIALYSIS SERVICES NORTH TAMPA, LLC",682604,-,7187 BROAD STREET,BROOKSVILLE,FL,34601,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
HOME DIALYSIS SERVICES OLYMPIA FIELDS LLC,142769,-,3214 VOLLMER RD,OLYMPIA FIELDS,IL,60461,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
HOME DIALYSIS SERVICES ROCKFORD LLC,142792,-,6940 VILLAGREEN VIEW,ROCKFORD,IL,61107,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
HOME DIALYSIS SEVICES HICKORY HILLS LLC,142761,-,7831 W 95TH ST STE CNE,HICKORY HILLS,IL,60457,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
Home Dialysis South,262684,-,5201 MID AMERICA PLAZA SUITE 2200,SAINT LOUIS,MO,63129,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
HOME DIALYSIS SPECIALTY CENTER,232691,-,29001 HARPER AVE,SAINT CLAIR SHORES,MI,48081,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
Home Dialysis Therapies of San Diego-North,552543,-,"10672 WEXFORD STREET, SUITE 250",San Diego,CA,92131,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5,7",6,5
Home Dialysis Therapies of San Diego-South,552546,-,"2060 OTAY LAKES ROAD, SUITE 120",CHULA VISTA,CA,91913,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5,7",6,5
HOME HEMODIALYSIS NETWORK,142791,-,14146 S BELL RD,HOMER GLEN,IL,60491,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
HOMESTEAD ARTIFICIAL KIDNEY CENTER,102565,-,99 NE 8TH ST,HOMESTEAD,FL,33030,7,ICH CAHPS,77.59%,9,4,4,64.05%,5,4,4,80.33%,5,4,5,59.70%,4,4,4,58.15%,3,4,4,64.39%,4,4,4,5,-,5,5
HOPE DIALYSIS CENTER,042569,-,407 W 16TH ST,HOPE,AR,71801,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
HOPE KIDNEY CLINIC,672590,-,"2309 EAST SAUNDERS STREET, SUITE 200",LAREDO,TX,78041,14,ICH CAHPS,75.63%,8,5,4,68.10%,8,4,4,88.12%,10,4,5,65.62%,6,4,4,71.70%,8,4,4,67.89%,5,5,4,8,-,5,5
HOPE KIDNEY CLINIC LAKEVIEW,672667,-,6410 CRESCENT LOOP - SUITE 100,LAREDO,TX,78041,14,ICH CAHPS,72.04%,7,5,4,69.51%,8,4,4,90.47%,10,4,5,66.47%,6,4,4,76.66%,9,4,4,79.55%,9,5,4,8,-,5,5
Hospital Metropolitano Centro de Dialysis,402316,-,"STREET 21, NUM 1785 LAS LOMAS",San Juan,PR,00922,3,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,8,5,No Rate,No Score,4,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"4,5,6,7,9",5,5
"HOWARD UNIVERSITY DIALYSIS CENTER, LLC",092528,-,2041 GEORGIA AVE NW - TOWER BUILDING SUITE 1119B,WASHINGTON,DC,20060,5,ICH CAHPS,89.39%,10,4,4,74.89%,10,3,4,89.40%,10,3,5,84.34%,10,2,4,78.45%,10,2,4,87.08%,10,2,4,10,-,3,5
HPLD Partners LLC,332751,-,386 VIOLET AVENUE,POUGHKEEPSIE,NY,12601,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
"HUMBLE DIALYSIS, LP",672699,-,19502 MCKAY DR. - SUITE 100,HUMBLE,TX,77338,14,ICH CAHPS,71.14%,6,5,4,57.57%,2,4,4,74.28%,2,4,5,55.78%,3,4,4,51.81%,1,4,4,50.58%,0,5,4,2,-,5,5
"Hunt County Regional Dialysis Center, LLC",742519,-,3301 RIDGECREST RD STE 1,GREENVILLE,TX,75402,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"5,7,9",5,5
Huntington Dialysis Center,052619,-,806 S. FAIR OAKS AVENUE,Pasadena,CA,91105,18,ICH CAHPS,71.95%,7,5,4,67.71%,7,6,4,72.79%,0,5,5,68.57%,7,5,4,67.87%,6,6,4,74.02%,7,6,4,6,-,6,5
HUNTINGTON HOSPITAL,332310,330045,270 PARK AVENUE - DIALYSIS UNIT,Huntington,NY,11743,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
HURON REGIONAL MEDICAL CTR,432301,430011,172 4TH ST SE,HURON,SD,57350,11,ICH CAHPS,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,5,No Rate,No Score,0,4,No Rate,No Score,0,4,No Rate,No Score,0,4,No Score,"4,7",0,5
IDAHO KIDNEY CENTER - BLACKFOOT,132515,-,245 POPLAR,BLACKFOOT,ID,83221,16,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,7,4,No Rate,No Score,7,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,4,7,5
IDAHO KIDNEY CENTER - POCATELLO,132511,-,444 HOSPITAL WAY #600,POCATELLO,ID,83201,16,ICH CAHPS,65.58%,4,4,4,70.23%,9,7,4,83.71%,7,7,5,60.72%,4,5,4,67.83%,6,6,4,67.69%,5,6,4,6,-,7,5
IDF - ARUNDEL CENTER,212544,-,804 LANDMARK DRIVE - STE 112,GLEN BURNIE,MD,21061,5,ICH CAHPS,74.93%,8,4,4,71.41%,9,3,4,82.08%,6,3,5,62.73%,5,3,4,79.21%,10,3,4,77.29%,8,3,4,8,-,4,5
IDF - CALVERT CENTER,212549,-,225 W DARES BEACH RD,PRINCE FREDERICK,MD,20678,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
IDF - CHESTNUT SQUARE DIALYSIS CTR,212513,-,3303 CHESTNUT AVE,BALTIMORE,MD,21211,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
IDF - GARRETT DIALYSIS CENTER,212651,-,888 MEMORIAL DR,OAKLAND,MD,21550,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
IDF - PARKVIEW CENTER,212515,-,840 HOLLINS ST,BALTIMORE,MD,21201,5,ICH CAHPS,81.84%,10,4,4,64.09%,6,3,4,78.27%,3,3,5,73.14%,8,3,4,71.44%,8,3,4,79.02%,8,3,4,7,-,4,5
"I Dialysis, LLC",672883,-,8760 US HWY 59 SOUTH,NACOGDOCHES,TX,75964,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
Independence Dialysis Center,262556,-,1135 S. CLAREMONT,Independence,MO,64054,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
INDEPENDENT NEPHROLOGY SERVICES CHARLOTTE,342655,-,6646 REGAL OAKS DRIVE,Charlotte,NC,28212,6,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",4,5
INDEPENDENT NEPHROLOGY SERVICES HUNTERSVILLE,342654,-,9920 KINCEY AVENUE STE 140,HUNTERSVILLE,NC,28078,6,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",4,5
INDIANA DIALYSIS COMPANY,152657,-,7840 MADISON AVE,INDIANAPOLIS,IN,46227,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
"Infiniti Dialysis Center of Cincinnati, LLC",362830,-,4665 EAST GALBRAITH RD SUITE 102,Cincinnati,OH,45236,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",6,5
"Innovative Dialysis Center of Lubbock, LLC",672823,-,1826 PARKWAY DR,LUBBOCK,TX,79403,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
"INNOVATIVE DIALYSIS CENTERS OF LA GRANGE, LLC",112871,-,1300 LAFAYETTE PKWY - SUITE E,LAGRANGE,GA,30241,6,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,3,4,No Rate,0,4,4,0,-,4,5
"INNOVATIVE DIALYSIS OF PATTERSON, LLC",552768,-,"1700 KEYSTONE PACIFIC PARKWAY, SUITE A-1",PATTERSON,CA,95363,17,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,4,6,5
INNOVATIVE DIALYSIS SOLUTIONS AT HOME OF DEVINE,742521,-,108 SOUTH UPSON DRIVE,Devine,TX,78016,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
"Innovative Dialysis Solutions at Home, PLLC",672829,-,2795 BULVERDE RD - SUITE B,BULVERDE,TX,78163,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,7",5,5
"Innovative Home Dialysis of Georgia, LLC",112890,-,3753 MARIETTA HIGHWAY - SUITE 100,CANTON,GA,30114,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,5",4,5
INS STATESVILLE,342657,-,2603 DAVIE AVENUE,STATESVILLE,NC,28625,6,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",4,5
Intercommunity Dialysis Center,052712,-,12455 WASHINGTON BLVD.,WHITTIER,CA,90602,18,ICH CAHPS,62.30%,2,5,4,55.72%,1,6,4,74.33%,3,5,5,59.66%,4,5,4,52.47%,2,6,4,58.34%,2,6,4,2,-,6,5
Intercommunity Dialysis Center-La Mirada,552890,-,15060 IMPERIAL HWY,La Mirada,CA,90638,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5,9",6,5
INVERNESS DIALYSIS CENTER,102579,-,1510 HIGHWAY 41 NORTH,INVERNESS,FL,34450,7,ICH CAHPS,60.80%,3,4,4,56.32%,2,4,4,82.43%,6,4,5,45.90%,0,4,4,54.00%,2,4,4,63.29%,5,4,4,3,-,5,5
IROQUOIS KIDNEY CENTER,142759,-,209 S FIFTH ST,WATSEKA,IL,60970,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
IRVING REGIONAL DIALYSIS CENTER LLC,672785,-,2535 WEST AIRPORT FWY,IRVING,TX,75062,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
ISD Renal Inc.,362890,-,703 MAIN STREET,Bridgeport,OH,43912,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,9",6,5
"ISD RENAL, INC",392881,-,6501 ROOSEVELT BLVD. - SUITE 6581,Philadelphia,PA,19149,4,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
ISLAND REHABILITATIVE SERVICES-CLOVE LAKES EXTENSION,332638,-,25 FANNING STREET,STATEN ISLAND,NY,10314,2,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,3,5,No Rate,0,3,4,No Rate,0,4,4,No Rate,0,4,4,0,-,4,5
ISLAND REHABILITATIVE SERVICES - COMMACK,332663,-,68 HAUPPAUGE ROAD,COMMACK,NY,11725,2,ICH CAHPS,57.88%,0,4,4,68.75%,8,4,4,58.55%,0,3,5,52.04%,1,3,4,71.04%,7,4,4,71.51%,6,4,4,4,-,4,5
"ISLAND REHABILITATIVE SERVICES, INC.",332511,-,470 SEAVIEW AVENUE - DIALYSIS UNIT,STATEN ISLAND,NY,10305,2,ICH CAHPS,63.80%,3,4,4,61.44%,4,4,4,74.85%,2,3,5,54.39%,2,3,4,56.74%,3,4,4,56.11%,1,4,4,3,-,4,5
JACKSON MEMORIAL HOSP DIALYSIS PEDIATRIC,102304,100022,1611 NW 12TH AVE,MIAMI,FL,33136,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
JACKSON REGIONAL DIALYSIS CENTER,362781,-,"3 ACY AVENUE, SUITE B",JACKSON,OH,45640,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",6,5
JACKSONVILLE BEACH DIALYSIS,102836,-,1711 5TH STREET SOUTH,JACKSONVILLE BEACH,FL,32250,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
JACKSONVILLE DIALYSIS CENTER,452859,-,908 STATE HWY 456 - SUITE 1,JACKSONVILLE,TX,75766,14,ICH CAHPS,68.40%,5,5,4,64.63%,6,4,4,75.57%,2,4,5,70.38%,7,4,4,65.54%,6,4,4,74.91%,7,5,4,6,-,5,5
JACKSONVILLE KIDNEY CENTER,102662,-,1107 MYRA ST STE 101,JACKSONVILLE,FL,32204,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
Jefferson County Dialysis Center,262569,-,"1301 YMCA DR., #200",Festus,MO,63028,12,ICH CAHPS,65.36%,4,4,4,62.09%,4,4,4,82.85%,7,5,5,65.48%,6,3,4,66.13%,6,4,4,60.40%,3,4,4,5,-,5,5
JOHN CUNIO DIALYSIS CENTER,102653,-,2561 CORAL WAY,MIAMI,FL,33145,7,ICH CAHPS,74.22%,8,4,4,89.67%,10,4,4,90.68%,10,4,5,66.89%,6,4,4,90.50%,10,4,4,94.19%,10,4,4,9,-,5,5
JOHN H. STROGER JR.HOSPITAL OF COOK COUNTY,142313,140124,DIALYSIS UNIT-CLINIC J - 1969 W OGDEN AV,CHICAGO,IL,60612,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
JOHNS HOPKINS ALL CHILDREN'S HOSPITAL DIALYSIS,102328,103300,501 6TH AVE S - 6500000410,SAINT PETERSBURG,FL,33701,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
JOHNSON DIALYSIS CENTER - DAVIE,682544,-,3105 N UNIVERSITY DR - SUITE #103,DAVIE,FL,33024,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
JOHNSON DIALYSIS CENTER LLC,102868,-,7769 JOHNSON ST,PEMBROKE PINES,FL,33024,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
JOHNSTON DIALYSIS CENTER INC,342572,-,545 EAST MARKET STREET,SMITHFIELD,NC,27577,6,ICH CAHPS,66.15%,4,3,4,70.59%,9,3,4,81.73%,6,4,5,72.69%,8,3,4,75.27%,9,3,4,80.75%,9,3,4,8,-,4,5
J ROBERT PRITCHARD DIALYSIS CENTER,512532,-,1690 MEDICAL CENTER DR,HUNTINGTON,WV,25701,5,ICH CAHPS,66.90%,4,4,4,55.57%,1,4,4,78.61%,4,5,5,58.23%,3,4,4,57.78%,3,4,4,58.65%,2,4,4,3,-,5,5
JUPITER KIDNEY CENTER LLC,102527,-,1701 MILITARY TRAIL #140,JUPITER,FL,33458,7,ICH CAHPS,82.06%,10,4,4,76.82%,10,4,4,84.72%,8,4,5,73.04%,8,4,4,76.39%,9,4,4,82.36%,9,4,4,9,-,5,5
KAHANA DIALYSIS,122515,-,10 HOOHUI ROAD SUITE 100 - ISLAND OF MAUI,LAHAINA,HI,96761,17,ICH CAHPS,No Rate,No Score,6,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,6,4,No Rate,No Score,6,4,No Rate,No Score,7,4,No Score,4,6,5
KAIMUKI DIALYSIS,122520,-,3625 HARDING AVENUE,HONOLULU,HI,96816,17,ICH CAHPS,73.71%,7,6,4,68.32%,8,6,4,80.86%,5,5,5,73.45%,8,6,4,66.84%,6,6,4,74.34%,7,7,4,7,-,6,5
"KAISER FOUNDATION HEALTH PLAN OF THE MID ATLANTIC STATES,",492670,-,8008 WESTPARK DR - SUITE 425,MCLEAN,VA,22102,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5",5,5
Kaiser Foundation Hospital Medical Ctr.- Anaheim,052394,050609,"PERITONEAL DIALYSIS UNIT, 3460 E. LA PALMA AVENUE",Anaheim,CA,92806,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5",6,5
Kaiser Foundation Hospital Medical Ctr.- Baldwin Park,052399,050723,PERITONEAL DIALYSIS UNIT 1813 N HACIENDA BLVD.,LA PUENTE,CA,91744,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5",6,5
Kaiser Foundation Hospital Medical Ctr.- Downey,052389,050139,"CAPD DEPARTMENT-BASEMENT, 9333 E. IMPERIAL HWY",Downey,CA,90242,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5",6,5
Kaiser Foundation Hospital Medical Ctr.- Fontana,052380,-,"PERITONEAL DIALYSIS UNIT, 9985 SIERRA AVENUE MOB-3",Fontana,CA,92335,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5,7",6,5
