Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
FRESENIUS MEDICAL CARE BERWICK,392689,,,,301 MARKET STREET,,BERWICK,PA,18603,4,10,0%,28,0%,27,Achievement,1,87%,45,362,94%,385,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,10,86%,39,378,80%,400,Achievement,7,9%,39,264,14%,391,Achievement,9,10,10,9,10,74,No reduction,11/19/2001,FRESENIUS MEDICAL CARE,01/27/2014
FRESENIUS MEDICAL CARE DUNMORE,392690,,,,"1416 MONROE AVENUE, FIRST FLOOR",,DUNMORE,PA,18509,4,N/A,Insufficient data,9,0%,12,N/A,4,90%,20,127,92%,128,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,4,9,74%,12,124,58%,143,Achievement,8,7%,14,123,16%,129,Achievement,8,10,10,8,10,69,No reduction,08/03/2001,FRESENIUS MEDICAL CARE,12/07/2010
US RENAL CARE MECHANICSBURG,392691,,,,120 SOUTH FILBERT STREET,,MECHANICSBURG,PA,17055,4,10,0%,34,0%,31,Achievement,10,97%,53,356,94%,326,Achievement,N/A,Insufficient data,N/A,46,Insufficient data,51,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,58%,38,356,52%,367,Achievement,2,20%,40,318,24%,332,Achievement,3,10,10,10,10,83,No reduction,01/14/2002,"US RENAL CARE, INC.",09/25/2012
DAVITA - OAK SPRINGS DIALYSIS,392692,,,,764 LOCUST AVENUE,,WASHINGTON,PA,15301,4,10,0%,14,0%,15,Achievement,8,95%,21,137,97%,172,Achievement,N/A,Insufficient data,N/A,16,Insufficient data,4,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,10,86%,16,146,72%,189,Achievement,9,6%,17,132,12%,170,Achievement,9,10,10,10,10,93,No reduction,12/17/2001,DAVITA,03/20/2012
FRESENIUS MEDICAL CARE HAHNEMANN,392694,,,,18TH FLOOR DIALYSIS,BROAD AND VINE STREETS,PHILADELPHIA,PA,19102,4,10,0%,29,0%,31,Achievement,5,89%,38,344,80%,321,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,2,53%,37,372,44%,340,Achievement,3,17%,38,341,24%,301,Achievement,3,10,10,9,10,69,No reduction,02/07/2002,FRESENIUS MEDICAL CARE,10/04/2012
DCI OF HILLPOINTE,392695,,,,131 HILLPOINTE DRIVE,,CANONSBURG,PA,15317,4,N/A,Insufficient data,7,Insufficient data,8,N/A,N/A,Insufficient data,N/A,60,Insufficient data,69,N/A,N/A,Insufficient data,N/A,2,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,N/A,58,Insufficient data,82,N/A,N/A,Insufficient data,N/A,52,Insufficient data,73,N/A,N/A,10,10,9,10,No Score Calculated,No reduction,05/15/2002,"DIALYSIS CLINIC, INC.",02/24/2012
FRESENIUS MEDICAL CARE MT. OLIVER,392697,,,,1630 ARLINGTON AVENUE,,PITTSBURGH,PA,15210,4,10,0%,18,5%,22,Achievement,7,94%,24,182,93%,209,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,9,72%,22,197,70%,229,Achievement,7,9%,22,182,14%,206,Achievement,8,10,8,10,10,86,No reduction,09/25/2002,FRESENIUS MEDICAL CARE,03/21/2012
"DCI RENAL SERVICES OF PITTSBURGH, LLC - FIVE POINTS",392698,,,,2534 MONROEVILLE BOULEVARD,,MONROEVILLE,PA,15146,4,10,0%,13,0%,18,Achievement,10,99%,17,149,95%,155,Achievement,N/A,Insufficient data,N/A,36,Insufficient data,44,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,90%,14,148,82%,163,Achievement,8,7%,17,150,1%,151,Achievement,9,10,10,10,10,98,No reduction,04/30/2003,"DIALYSIS CLINIC, INC.",09/26/2012
DAVITA - PITTSBURGH DIALYSIS,392699,,,,4312 PENN AVENUE,,PITTSBURGH,PA,15224,4,10,0%,22,0%,25,Achievement,10,98%,28,229,95%,278,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,11,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,91%,24,237,84%,280,Achievement,10,0%,26,222,3%,264,Achievement,10,10,10,10,10,100,No reduction,07/15/2002,DAVITA,01/29/2013
DAVITA - MCKEESPORT WEST DIALYSIS,392700,,,,101 9TH STREET,,MCKEESPORT,PA,15132,4,10,0%,21,0%,24,Achievement,10,98%,32,199,98%,251,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,54%,22,219,54%,240,Achievement,0,31%,23,196,23%,223,Achievement,1,10,10,10,10,78,No reduction,08/21/2002,DAVITA,07/11/2011
FRESENIUS MEDICAL CARE WAYNESBORO,392701,,,,27 VISTA DRIVE,,WAYNESBORO,PA,17268,4,10,0%,19,0%,17,Achievement,6,93%,26,200,90%,185,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,5,61%,22,225,54%,178,Achievement,0,26%,23,202,14%,163,Achievement,2,10,10,10,10,70,No reduction,01/30/2003,FRESENIUS MEDICAL CARE,12/02/2010
DAVITA - WALNUT TOWERS,392702,,,,834 WALNUT STREET,,PHILADELPHIA,PA,19107,4,10,0%,51,0%,64,Achievement,10,98%,65,451,98%,689,Achievement,N/A,Insufficient data,N/A,24,92%,83,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,60%,60,483,58%,731,Achievement,8,7%,65,453,12%,696,Achievement,7,10,9,10,10,92,No reduction,07/31/2002,DAVITA,05/31/2013
DAVITA - CLEARFIELD DIALYSIS,392704,,,,"1033 TURNPIKE AVENUE, SUITE 100",,CLEARFIELD,PA,16830,4,10,0%,19,0%,17,Achievement,10,97%,30,235,95%,252,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,78%,24,245,94%,262,Achievement,10,4%,29,230,1%,249,Achievement,10,10,10,10,10,100,No reduction,10/21/2002,DAVITA,02/06/2014
DAVITA - MOUNT POCONO DIALYSIS,392705,,,,100 COMMUNITY DRIVE,SUITE 106,TOBYHANNA,PA,18466,4,10,0%,30,0%,40,Achievement,7,94%,62,380,98%,467,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,10,82%,41,417,71%,503,Achievement,9,6%,47,392,7%,467,Achievement,9,10,10,10,10,90,No reduction,03/10/2003,DAVITA,01/11/2012
DAVITA - EPHRATA,392706,,,,67 WEST CHURCH STREET,,STEVENS,PA,17578,4,10,0%,37,0%,42,Achievement,10,97%,54,436,97%,468,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,75%,47,471,80%,471,Achievement,10,4%,50,434,4%,434,Achievement,10,10,10,10,10,100,No reduction,07/02/2003,DAVITA,10/03/2012
US RENAL CARE POTTSTOWN,392707,,,,5 SOUTH SUNNYBROOK ROAD,SUITE 500,POTTSTOWN,PA,19464,4,10,0%,51,0%,29,Achievement,5,91%,78,516,97%,373,Achievement,N/A,Insufficient data,N/A,6,Insufficient data,1,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,0,45%,72,599,50%,411,Achievement,1,21%,75,471,19%,382,Achievement,1,10,10,9,10,64,No reduction,03/31/2004,"US RENAL CARE, INC.",09/19/2012
FRESENIUS MEDICAL CARE TAMAQUA,392708,,,,1215 EAST BROAD STREET,,TAMAQUA,PA,18252,4,10,0%,21,0%,25,Achievement,5,90%,27,230,81%,243,Improvement,N/A,Insufficient data,N/A,20,Insufficient data,4,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,6,63%,27,275,56%,263,Achievement,4,17%,27,248,26%,252,Improvement,5,10,10,8,10,74,No reduction,12/29/2003,FRESENIUS MEDICAL CARE,03/29/2010
DAVITA - ELIZABETH DIALYSIS,392710,,,,201 MCKEESPORT ROAD,,ELIZABETH,PA,15037,4,10,0%,15,0%,20,Achievement,8,95%,19,165,97%,192,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,10,80%,19,187,85%,234,Achievement,5,14%,21,180,10%,222,Achievement,7,10,10,10,10,88,No reduction,03/31/2004,DAVITA,06/25/2012
FRESENIUS MEDICAL CARE SOUTH ALLENTOWN,392711,,,,2820 MITCHELL AVENUE,,ALLENTOWN,PA,18103,4,10,0%,45,0%,55,Achievement,10,98%,59,486,96%,510,Achievement,10,96%,19,156,97%,143,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,60%,48,514,56%,565,Achievement,6,12%,56,498,11%,518,Achievement,6,10,10,10,10,90,No reduction,07/07/2004,FRESENIUS MEDICAL CARE,04/02/2013
RENAL CARE OF CLARION,392713,,,,825 EAST MAIN STREET,,CLARION,PA,16214,4,10,0%,24,0%,28,Achievement,7,94%,34,253,93%,245,Achievement,N/A,Insufficient data,N/A,54,Insufficient data,43,N/A,N/A,Insufficient data,N/A,0,Insufficient data,2,N/A,7,3,56%,26,269,50%,270,Achievement,0,31%,30,243,29%,241,Achievement,1,10,10,10,10,70,No reduction,10/13/2004,OTHER CHAIN(number of facilities <20 ),01/11/2012
FRESENIUS MEDICAL CARE NAZARETH,392714,,,,2601 HOLME AVENUE,"GROUND FLOOR, MARION BUILDING",PHILADELPHIA,PA,19152,4,10,0%,57,0%,62,Achievement,7,93%,71,602,83%,644,Improvement,N/A,Insufficient data,N/A,30,Insufficient data,38,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,2,53%,60,624,46%,670,Achievement,5,14%,65,595,25%,635,Achievement,4,10,10,10,10,78,No reduction,10/14/2004,FRESENIUS MEDICAL CARE,09/17/2012
NEW CASTLE DIALYSIS CENTER,392715,,,,"100 SOUTH JEFFERSON STREET, SUITE 187",,NEW CASTLE,PA,16101,4,10,0%,16,0%,23,Achievement,10,98%,33,247,96%,292,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,2,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,74%,24,249,60%,305,Achievement,3,20%,29,230,27%,287,Improvement,6,10,10,10,10,90,No reduction,11/03/2004,AMERICAN RENAL ASSOCIATES,01/11/2012
LIBERTY DIALYSIS - WASHINGTON,392716,,,,90 WEST CHESTNUT STREET,100 EAST WING,WASHINGTON,PA,15301,4,10,0%,25,0%,27,Achievement,10,97%,38,274,97%,299,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,68%,28,273,67%,319,Achievement,4,15%,30,257,14%,294,Achievement,5,10,10,10,10,88,No reduction,07/06/2005,NOT A CHAIN,06/25/2012
LIBERTY DIALYSIS - SOUTHPOINTE,392717,,,,1200 CORPORATE DRIVE,,CANONSBURG,PA,15317,4,10,0%,24,0%,24,Achievement,8,95%,37,235,93%,243,Achievement,N/A,Insufficient data,N/A,79,Insufficient data,78,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,7,66%,26,238,51%,272,Achievement,4,15%,31,221,22%,230,Achievement,5,10,10,10,10,83,No reduction,07/27/2005,NOT A CHAIN,05/11/2011
DAVITA - PHILADELPHIA - MARKET STREET,392718,,,,3701 MARKET STREET,SUITE 100,PHILADELPHIA,PA,19104,4,10,0%,36,0%,33,Achievement,10,99%,42,352,96%,361,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,50%,38,384,51%,380,Achievement,10,2%,41,349,1%,352,Achievement,6,10,10,10,10,90,No reduction,09/13/2005,DAVITA,03/15/2012
DAVITA - LINCOLN WAY DIALYSIS,392719,,,,1303 LINCOLN WAY,SUITE A,WHITE OAK,PA,15131,4,10,0%,12,Insufficient data,10,Achievement,10,97%,13,136,93%,151,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,80%,13,146,81%,130,Achievement,10,0%,13,135,0%,113,Achievement,10,10,10,10,10,100,No reduction,09/28/2005,DAVITA,03/18/2013
LIBERTY DIALYSIS - HOPEWELL,392720,,,,400 CORPORATION DRIVE,,ALIQUIPPA,PA,15001,4,10,0%,29,0%,26,Achievement,10,97%,40,321,98%,318,Achievement,N/A,Insufficient data,N/A,66,Insufficient data,54,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,69%,32,328,67%,315,Achievement,1,21%,32,309,23%,298,Achievement,5,10,10,10,10,88,No reduction,10/21/2005,NOT A CHAIN,04/20/2010
LIBERTY DIALYSIS - BADEN,392721,,,,1682 STATE STREET,,BADEN,PA,15005,4,N/A,Insufficient data,10,Insufficient data,9,N/A,10,98%,22,151,97%,159,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,86%,18,158,89%,155,Achievement,10,5%,18,131,8%,141,Achievement,10,10,10,10,10,100,No reduction,12/30/2005,NOT A CHAIN,01/25/2013
DUNMORE DIALYSIS,392723,,,,1212 ONEAL HIGHWAY,,DUNMORE,PA,18512,4,10,0%,69,0%,74,Achievement,10,98%,54,470,98%,494,Achievement,10,94%,47,353,93%,327,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,88%,52,546,90%,585,Achievement,8,8%,57,520,5%,572,Achievement,9,10,10,10,9,97,No reduction,05/01/2005,DAVITA,02/01/2012
CHILDS DIALYSIS,392724,,,,101 SOUTH MAIN STREET,,CHILDS,PA,18407,4,10,0%,31,0%,29,Achievement,10,98%,45,373,96%,362,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,71%,39,394,77%,371,Achievement,8,7%,41,363,7%,344,Achievement,8,10,10,10,10,95,No reduction,05/01/2005,DAVITA,01/18/2011
TUNKHANNOCK DIALYSIS,392725,,,,5950 SR 6,,TUNKHANNOCK,PA,18657,4,10,0%,34,0%,33,Achievement,9,96%,48,387,98%,371,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,76%,37,398,75%,394,Achievement,6,12%,40,380,14%,360,Achievement,8,10,10,10,10,93,No reduction,05/01/2005,DAVITA,03/08/2013
OLD FORGE DIALYSIS,392726,,,,325 SOUTH MAIN STREET,,OLD FORGE,PA,18518,4,10,0%,22,0%,22,Achievement,9,96%,29,255,95%,236,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,82%,24,259,79%,248,Achievement,6,12%,25,238,9%,235,Achievement,8,10,10,10,10,93,No reduction,05/01/2005,DAVITA,01/31/2012
LIBERTY DIALYSIS - BANKSVILLE,392727,,,,2875 BANKSVILLE ROAD,,PITTSBURGH,PA,15216,4,10,0%,24,0%,33,Achievement,10,98%,40,356,96%,380,Achievement,N/A,Insufficient data,N/A,33,Insufficient data,45,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,9,72%,38,378,71%,403,Achievement,3,18%,39,354,14%,367,Achievement,6,10,10,10,10,90,No reduction,01/20/2006,NOT A CHAIN,10/08/2013
SCRANTON DIALYSIS,392729,,,,REAR 475 MORGAN HIGHWAY,,SCRANTON,PA,18508,4,10,0%,39,3%,38,Achievement,9,96%,62,397,92%,449,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,75%,42,415,73%,452,Achievement,5,13%,45,376,8%,430,Achievement,7,10,10,10,10,90,No reduction,05/01/2005,DAVITA,06/28/2012
US RENAL CARE YORK,392731,,,,1975 KENNETH ROAD,,YORK,PA,17408,4,10,0%,59,0%,71,Achievement,5,91%,73,601,97%,604,Achievement,N/A,Insufficient data,N/A,30,Insufficient data,68,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,2,53%,66,666,49%,675,Achievement,2,19%,70,597,20%,627,Achievement,2,10,10,10,10,68,No reduction,07/12/2006,"US RENAL CARE, INC.",07/31/2012
LIBERTY DIALYSIS - FRIENDSHIP RIDGE,392732,,,,246 FRIENDSHIP CIRCLE,,BEAVER,PA,15009,4,N/A,Insufficient data,10,Insufficient data,8,N/A,9,96%,19,99,90%,79,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,3,54%,12,100,Insufficient data,76,Achievement,0,42%,12,76,Insufficient data,63,Achievement,2,10,10,10,10,66,No reduction,07/28/2006,NOT A CHAIN,10/08/2013
LIBERTY DIALYSIS - CHIPPEWA,392733,,,,100 PAPPAN BUSINESS DRIVE,,BEAVER FALLS,PA,15010,4,10,0%,25,0%,34,Achievement,9,96%,49,310,98%,366,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,79%,33,308,59%,397,Achievement,8,8%,40,280,17%,336,Achievement,9,10,10,8,10,94,No reduction,09/15/2006,NOT A CHAIN,10/08/2013
FRESENIUS MEDICAL CARE MURRYSVILLE,392734,,,,20 WESCO LANE,,EXPORT,PA,15632,4,10,0%,16,0%,13,Achievement,6,93%,22,148,96%,134,Achievement,N/A,Insufficient data,N/A,59,Insufficient data,38,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,10,90%,15,141,84%,137,Achievement,10,2%,16,132,3%,120,Achievement,10,10,10,9,10,89,No reduction,12/11/2006,FRESENIUS MEDICAL CARE,04/12/2012
DIALYSIS CENTER OF BUCKS COUNTY,392735,,,,1900 FROST ROAD,,BRISTOL,PA,19007,4,10,0%,45,0%,48,Achievement,9,96%,55,432,99%,460,Achievement,N/A,Insufficient data,N/A,15,Insufficient data,16,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,3,55%,49,489,55%,508,Achievement,5,14%,51,451,13%,471,Achievement,4,10,10,10,10,83,No reduction,01/03/2007,AMERICAN RENAL ASSOCIATES,07/12/2012
LANGHORNE DIALYSIS CENTER,392736,,,,880 TOWN CENTER DRIVE,,LANGHORNE,PA,19047,4,10,0%,69,0%,71,Achievement,10,99%,81,678,100%,770,Achievement,N/A,Insufficient data,N/A,80,Insufficient data,42,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,64%,74,741,62%,802,Achievement,8,8%,81,683,8%,768,Achievement,7,10,10,10,10,93,No reduction,03/09/2007,AMERICAN RENAL ASSOCIATES,10/07/2013
"PRODIGY DIALYSIS, LLC - RICHLAND SQUARE",392738,,,,105 METZLER STREET,,JOHNSTOWN,PA,15904,4,10,0%,20,Insufficient data,6,Achievement,0,84%,34,203,Insufficient data,70,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,9,72%,27,215,Insufficient data,68,Achievement,0,23%,27,148,Insufficient data,68,Achievement,5,10,7,10,9,60,No reduction,05/18/2007,NOT A CHAIN,10/25/2012
RIDDLE DIALYSIS CENTER,392739,,,,"100 GRANITE DRIVE, SUITE 106",,MEDIA,PA,19063,4,10,0%,66,0%,62,Achievement,10,97%,73,581,97%,579,Achievement,10,96%,21,178,96%,167,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,61,615,51%,600,Achievement,6,11%,67,600,10%,561,Achievement,4,10,10,10,10,85,No reduction,07/23/2007,DAVITA,09/16/2010
DCI OF HASTINGS,392740,,,,"264 HAIDA AVENUE, SUITE D",,HASTINGS,PA,16646,4,10,0%,13,0%,15,Achievement,10,98%,22,182,98%,231,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,78%,17,184,88%,238,Achievement,6,11%,17,175,6%,234,Achievement,8,10,10,10,10,95,No reduction,08/29/2007,"DIALYSIS CLINIC, INC.",09/19/2012
FRESENIUS MEDICAL CARE CHAMBERSBURG,392741,,,,755 NORLAND AVENUE,SUITE 104,CHAMBERSBURG,PA,17201,4,10,0%,56,4%,57,Achievement,5,91%,84,642,92%,525,Achievement,N/A,Insufficient data,N/A,56,Insufficient data,32,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,0,43%,70,716,44%,634,Achievement,0,27%,75,655,28%,544,Achievement,0,10,10,10,10,63,No reduction,10/19/2007,FRESENIUS MEDICAL CARE,10/25/2013
BENSALEM DIALYSIS CENTER,392742,,,,1336 BRISTOL PIKE,Units 12 &13,BENSALEM,PA,19020,4,10,0%,57,0%,59,Achievement,10,100%,71,661,100%,633,Achievement,N/A,Insufficient data,N/A,31,Insufficient data,62,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,54%,66,686,51%,680,Achievement,4,15%,68,650,17%,619,Achievement,4,10,10,10,10,85,No reduction,11/19/2007,AMERICAN RENAL ASSOCIATES,07/25/2012
LIBERTY DIALYSIS - DOYLESTOWN,392743,,,,2800 KELLY ROAD,SUITE 110,WARRINGTON,PA,18976,4,10,0%,33,0%,38,Achievement,9,96%,55,450,97%,448,Achievement,N/A,Insufficient data,N/A,16,Insufficient data,4,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,81%,49,483,81%,467,Achievement,7,10%,54,433,12%,435,Achievement,8,10,10,10,10,93,No reduction,11/20/2007,NOT A CHAIN,06/25/2012
PHYSICIANS DIALYSIS OF LANCASTER LLC,392745,,,,"2110 HARRISBURG PIKE, SUITE 310",,LANCASTER,PA,17601,4,N/A,Insufficient data,2,0%,22,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,29,96%,257,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,02/25/2008,DAVITA,10/12/2009
KIDNEY CARE SERVICES OF DUBOIS,392746,,,,635 D MAPLE AVENUE,,DUBOIS,PA,15801,4,10,0%,52,0%,48,Achievement,10,98%,64,562,95%,481,Achievement,N/A,Insufficient data,N/A,22,Insufficient data,31,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,64%,60,614,61%,557,Achievement,0,23%,65,574,21%,500,Achievement,3,10,10,10,10,83,No reduction,03/24/2008,NOT A CHAIN,12/31/2012
KIDNEY CARE SERVICES OF PHILIPSBURG,392747,,,,1031 NORTH FRONT STREET,,PHILIPSBURG,PA,16866,4,10,0%,26,0%,20,Achievement,9,96%,31,279,99%,230,Achievement,N/A,Insufficient data,N/A,15,Insufficient data,10,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,6,64%,29,300,67%,252,Achievement,0,26%,31,279,13%,236,Achievement,3,10,10,8,10,79,No reduction,04/25/2008,NOT A CHAIN,12/31/2012
DAVITA - EAST END PITTSBURGH,392748,,,,7714 PENN AVENUE,,PITTSBURGH,PA,15221,4,10,0%,48,0%,41,Achievement,8,95%,65,489,93%,447,Achievement,N/A,Insufficient data,N/A,8,Insufficient data,3,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,7,68%,52,524,69%,491,Achievement,5,13%,54,478,7%,437,Achievement,6,10,10,10,10,85,No reduction,07/07/2008,DAVITA,08/06/2012
DAVITA - CALLOWHILL,392749,,,,313 CALLOWHILL STREET,,PHILADELPHIA,PA,19123,4,10,0%,51,0%,55,Achievement,10,97%,89,600,98%,602,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,53%,63,614,51%,638,Achievement,6,12%,65,554,16%,596,Achievement,4,10,10,10,10,85,No reduction,09/15/2008,DAVITA,01/31/2012
US RENAL CARE CAMP HILL,392750,,,,158 SOUTH 32ND STREET #19,,CAMP HILL,PA,17011,4,10,0%,22,0%,33,Achievement,9,96%,34,245,97%,340,Achievement,N/A,Insufficient data,N/A,58,Insufficient data,73,N/A,N/A,Insufficient data,N/A,3,Insufficient data,0,N/A,9,3,55%,29,275,49%,363,Achievement,3,23%,33,258,33%,337,Improvement,3,10,10,6,10,78,No reduction,08/04/2008,"US RENAL CARE, INC.",01/28/2014
